country_name,country_code,year,wb_milex_pct_gdp
Norway,NOR,2024,2.09124111193175
Poland,POL,2024,4.15439387975356
Portugal,PRT,2024,1.53226822745255
Romania,ROU,2024,2.29815245791591
Russian Federation,RUS,2024,7.05233864500366
Serbia,SRB,2024,2.59513983105714
Slovakia,SVK,2024,2.01078152849676
Slovenia,SVN,2024,1.31001116486788
Sweden,SWE,2024,1.99771738810168
Tajikistan,TJK,2024,1.84774975839365
Turkey,TUR,2024,1.92255231276371
Ukraine,UKR,2024,34.4815297701892
United States,USA,2024,3.41921653228044
Kosovo,XKX,2024,1.47659639574127
