country,year,milex_constant_usd_m,milex_share_gdp,sipri_available,country_code,wb_milex_pct_gdp,worldbank_available,total_events,total_fatalities,total_pop_exposure,battles,explosions_remote_violence,protests,riots,strategic_developments,violence_against_civilians,acled_available,gdp_pct,nato_2pct_threshold,conflict_zone
Estonia,2024,1392.6579125761443,3.3740022182460074,1,EST,3.37400221824601,1,30.0,0.0,98066.0,0.0,0.0,26.0,0.0,4.0,0.0,1,3.3740022182460074,1,Other
Faroe Islands,2020,,,0,,,0,2.0,0.0,5334.0,0.0,0.0,1.0,1.0,0.0,0.0,1,,0,Other
Faroe Islands,2022,,,0,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,,0,Other
Faroe Islands,2023,,,0,,,0,1.0,0.0,1154.0,0.0,0.0,1.0,0.0,0.0,0.0,1,,0,Other
Faroe Islands,2024,,,0,,,0,3.0,0.0,3540.0,0.0,0.0,3.0,0.0,0.0,0.0,1,,0,Other
Finland,2018,4050.1176133577055,1.371682369935965,1,FIN,1.37168236993597,1,,,,,,,,,,0,1.371682369935965,0,Other
Finland,2019,4092.241832617438,1.3613228351738653,1,FIN,1.36132283517387,1,,,,,,,,,,0,1.3613228351738653,0,Other
Finland,2020,4265.115605898352,1.435781155478093,1,FIN,1.43578115547809,1,249.0,1.0,448865.0,0.0,2.0,217.0,6.0,21.0,3.0,1,1.435781155478093,0,Other
Finland,2021,3984.1542156830455,1.3024392596999566,1,FIN,1.30243925969996,1,268.0,1.0,427361.0,0.0,0.0,258.0,5.0,4.0,1.0,1,1.3024392596999566,0,Other
Finland,2022,4852.772829623623,1.588545189460552,1,FIN,1.58854518946055,1,359.0,0.0,502595.0,0.0,2.0,347.0,2.0,8.0,0.0,1,1.588545189460552,0,Other
Finland,2023,5928.02105436018,2.0075369530220986,1,FIN,2.0075369530221,1,302.0,0.0,409238.0,0.0,0.0,296.0,1.0,5.0,0.0,1,2.0075369530220986,1,Other
Finland,2024,6893.946825837601,2.2997917371259726,1,FIN,2.29979173712597,1,422.0,0.0,522769.0,0.0,0.0,401.0,1.0,18.0,2.0,1,2.2997917371259726,1,Other
France,2018,53529.59685555821,1.8460425714458935,1,FRA,1.84604257144589,1,,,,,,,,,,0,1.8460425714458935,0,Other
France,2019,54872.76525486181,1.8528852069651314,1,FRA,1.85288520696513,1,26.0,0.0,262894.0,0.0,0.0,25.0,1.0,0.0,0.0,1,1.8528852069651314,0,Other
France,2020,56796.26305348323,2.0216745528423226,1,FRA,2.02167455284232,1,5527.0,9.0,48095427.0,2.0,0.0,5127.0,318.0,67.0,13.0,1,2.0216745528423226,1,Other
France,2021,59214.478230346474,1.9802222580793456,1,FRA,1.98022225807935,1,8735.0,4.0,63876407.0,5.0,0.0,8366.0,284.0,64.0,16.0,1,1.9802222580793456,0,Other
France,2022,58904.3076821479,1.9577206747670346,1,FRA,1.95772067476703,1,6865.0,14.0,52719407.0,0.0,0.0,6440.0,253.0,150.0,22.0,1,1.9577206747670346,0,Other
France,2023,59491.964166101265,1.950996838000512,1,FRA,1.95099683800051,1,8883.0,5.0,71968961.0,0.0,0.0,7916.0,829.0,121.0,17.0,1,1.950996838000512,0,Other
France,2024,63134.97033607691,2.052576878606367,1,FRA,2.05257687860637,1,7069.0,12.0,50219531.0,3.0,0.0,6793.0,146.0,106.0,21.0,1,2.052576878606367,1,Other
Georgia,2018,447.9516592030052,1.86470954721815,1,GEO,1.86470954721815,1,749.0,3.0,2972284.0,0.0,1.0,680.0,38.0,10.0,20.0,1,1.86470954721815,0,Other
Georgia,2019,441.81155319335255,1.7596327905627474,1,GEO,1.75963279056275,1,879.0,3.0,2771023.0,3.0,0.0,823.0,28.0,13.0,12.0,1,1.7596327905627474,0,Other
Georgia,2020,426.922508193889,1.7865557587645742,1,GEO,1.78655575876457,1,923.0,1.0,3580665.0,3.0,1.0,828.0,58.0,17.0,16.0,1,1.7865557587645742,0,Other
Georgia,2021,423.58338324996794,1.592406246130355,1,GEO,1.59240624613036,1,895.0,0.0,3432047.0,0.0,0.0,810.0,65.0,12.0,8.0,1,1.592406246130355,0,Other
Georgia,2022,458.6094457348125,1.6078768198308133,1,GEO,1.60787681983081,1,510.0,0.0,2067652.0,0.0,0.0,475.0,21.0,12.0,2.0,1,1.6078768198308133,0,Other
Georgia,2023,508.40141939870364,1.6586480840536224,1,GEO,1.65864808405362,1,314.0,2.0,1267035.0,0.0,1.0,293.0,12.0,1.0,7.0,1,1.6586480840536224,0,Other
Georgia,2024,632.3472739027155,1.8640294179456425,1,GEO,1.86402941794564,1,449.0,1.0,1774003.0,0.0,0.0,399.0,21.0,8.0,21.0,1,1.8640294179456425,0,Other
Germany,2018,50459.20663423516,1.148141457770472,1,DEU,1.14814145777047,1,,,,,,,,,,0,1.148141457770472,0,Other
Germany,2019,55350.650530960505,1.240148463314172,1,DEU,1.24014846331417,1,12.0,0.0,66662.0,0.0,0.0,9.0,0.0,3.0,0.0,1,1.240148463314172,0,Other
Germany,2020,58975.73422327501,1.3559899351232891,1,DEU,1.35598993512329,1,4770.0,14.0,20185195.0,2.0,6.0,4285.0,173.0,278.0,26.0,1,1.3559899351232891,0,Other
Germany,2021,58457.69860240413,1.2998237434923814,1,DEU,1.29982374349238,1,4629.0,9.0,20422653.0,0.0,1.0,4217.0,211.0,190.0,10.0,1,1.2998237434923814,0,Other
Germany,2022,61110.135064451206,1.3503051456175628,1,DEU,1.35030514561756,1,4972.0,1.0,20131394.0,0.0,1.0,4820.0,116.0,29.0,6.0,1,1.3503051456175628,0,Other
