country,year,total_events,total_fatalities,total_pop_exposure,battles,explosions_remote_violence,protests,riots,strategic_developments,violence_against_civilians
Latvia,2021,70,0,127536.0,0,0,62,1,7,0
Latvia,2022,50,0,87725.0,0,0,47,0,3,0
Latvia,2023,36,0,64210.0,0,0,36,0,0,0
Latvia,2024,54,1,97664.0,0,0,49,0,4,1
Liechtenstein,2020,3,0,2860.0,0,0,2,0,1,0
Liechtenstein,2021,6,0,7117.0,0,0,5,0,1,0
Liechtenstein,2022,5,0,9068.0,0,0,5,0,0,0
Liechtenstein,2024,1,0,1470.0,0,0,1,0,0,0
Lithuania,2019,1,0,5745.0,0,0,1,0,0,0
Lithuania,2020,60,0,207854.0,0,0,58,0,2,0
Lithuania,2021,158,0,397633.0,0,0,148,3,7,0
Lithuania,2022,80,0,237919.0,0,0,77,0,3,0
Lithuania,2023,72,0,278302.0,0,0,71,0,0,1
Lithuania,2024,101,1,271812.0,0,0,86,0,13,2
Luxembourg,2020,37,0,108001.0,0,0,35,1,1,0
Luxembourg,2021,34,0,162765.0,0,0,32,2,0,0
Luxembourg,2022,33,0,119633.0,0,0,33,0,0,0
Luxembourg,2023,40,0,135949.0,0,0,39,0,1,0
Luxembourg,2024,33,0,110170.0,0,0,33,0,0,0
Macedonia,2018,91,1,1406462.0,1,0,78,6,5,1
Macedonia,2019,197,0,1869918.0,0,0,182,1,11,3
Macedonia,2020,234,0,2192191.0,0,0,225,0,5,4
Macedonia,2021,191,0,2131218.0,0,1,184,4,2,0
Macedonia,2022,168,0,1496118.0,0,0,161,2,4,1
Macedonia,2023,216,0,2007645.0,0,0,209,0,1,6
Macedonia,2024,167,0,1569716.0,0,0,140,0,20,7
Malta,2020,56,0,415026.0,0,0,41,7,7,1
Malta,2021,77,0,403838.0,0,0,75,2,0,0
Malta,2022,83,0,429853.0,0,0,81,1,1,0
Malta,2023,76,0,427868.0,0,0,74,1,0,1
Malta,2024,60,0,365446.0,0,0,60,0,0,0
Moldova,2018,213,0,1148371.0,0,0,179,1,28,5
Moldova,2019,240,0,1203620.0,1,0,176,9,48,6
Moldova,2020,304,0,1307094.0,0,0,281,6,13,4
Moldova,2021,223,0,663205.0,1,0,193,9,13,7
Moldova,2022,456,0,1812805.0,0,7,414,6,23,6
Moldova,2023,225,1,1107919.0,0,1,193,3,21,7
Moldova,2024,218,0,1211955.0,0,2,175,5,35,1
Monaco,2020,3,0,26992.0,0,0,2,0,1,0
Monaco,2021,6,0,82230.0,0,0,6,0,0,0
Monaco,2022,2,0,27710.0,0,0,2,0,0,0
Monaco,2023,3,0,42024.0,0,0,3,0,0,0
Monaco,2024,4,0,55496.0,0,0,4,0,0,0
Montenegro,2018,101,2,1299323.0,0,15,78,1,1,6
Montenegro,2019,160,0,829060.0,0,9,136,3,5,7
Montenegro,2020,343,0,451403.0,0,1,333,8,1,0
Montenegro,2021,212,0,528376.0,0,0,199,6,1,6
Montenegro,2022,305,0,477962.0,0,3,298,1,3,0
Montenegro,2023,138,1,465488.0,0,1,136,0,1,0
Montenegro,2024,156,0,421201.0,0,0,150,2,2,2
Netherlands,2019,1,0,3411.0,0,0,1,0,0,0
Netherlands,2020,841,1,4598311.0,0,2,762,40,36,1
Netherlands,2021,848,1,6027280.0,0,1,755,75,15,2
Netherlands,2022,929,0,4857947.0,0,0,895,28,5,1
Netherlands,2023,773,0,4633740.0,0,0,744,19,9,1
Netherlands,2024,865,1,5337027.0,0,0,796,34,29,6
Norway,2019,1,0,3053.0,0,0,1,0,0,0
Norway,2020,321,1,642812.0,0,0,293,10,13,5
Norway,2021,313,0,567950.0,0,0,307,4,2,0
Norway,2022,506,2,848207.0,0,0,484,1,19,2
Norway,2023,344,0,565442.0,0,0,340,2,2,0
Norway,2024,482,0,913936.0,0,0,458,3,20,1
Poland,2019,2,0,11469.0,0,0,2,0,0,0
Poland,2020,1844,0,7659130.0,0,0,1825,11,5,3
Poland,2021,1923,9,9447899.0,0,0,1806,90,25,2
Poland,2022,1403,2,6444562.0,0,1,1168,83,151,0
Poland,2023,1086,3,4837225.0,0,0,1004,43,32,7
Poland,2024,1593,1,5753561.0,1,1,1511,38,35,7
Portugal,2020,373,2,2920370.0,0,0,359,9,1,4
Portugal,2021,622,0,3370797.0,0,0,616,4,2,0
Portugal,2022,341,0,2216803.0,0,0,337,2,2,0
Portugal,2023,578,0,3479097.0,0,0,575,3,0,0
Portugal,2024,543,1,4205886.0,0,0,504,30,6,3
Romania,2018,562,0,3314757.0,0,0,555,2,4,1
Romania,2019,599,1,3948263.0,0,0,570,6,20,3
Romania,2020,210,3,2434033.0,0,0,185,13,8,4
Romania,2021,473,0,4371557.0,0,0,450,14,6,3
Romania,2022,225,0,2479927.0,0,1,209,3,8,4
Romania,2023,470,1,4318386.0,0,2,441,2,18,7
Romania,2024,441,1,3384165.0,0,0,404,3,28,6
Russian Federation,2018,1733,120,23711445.0,61,14,1282,27,175,174
Russian Federation,2019,2105,46,17465901.0,22,0,2005,11,28,39
Russian Federation,2020,1641,56,14327396.0,23,1,1540,16,14,47
Russian Federation,2021,1823,26,19992097.0,8,2,1572,21,85,135
Russian Federation,2022,1962,115,19159673.0,13,263,1304,7,202,173
Russian Federation,2023,4183,258,26789402.0,35,2890,405,8,650,195
Russian Federation,2024,15734,4882,63146383.0,1399,11533,344,15,2169,274
San Marino,2020,5,0,7098.0,0,0,2,0,3,0
San Marino,2021,11,0,31447.0,0,0,11,0,0,0
San Marino,2022,12,0,32506.0,0,0,12,0,0,0
San Marino,2023,2,0,6924.0,0,0,2,0,0,0
San Marino,2024,3,0,10311.0,0,0,3,0,0,0
Serbia,2018,230,5,3554610.0,0,15,198,5,2,10
Serbia,2019,1067,1,8876214.0,1,12,1005,18,15,16
Serbia,2020,411,0,3535452.0,0,0,388,13,7,3
Serbia,2021,396,1,3355305.0,0,0,379,4,8,5
Serbia,2022,394,0,2881701.0,0,0,381,5,6,2
Serbia,2023,500,18,4330543.0,0,0,485,1,7,7
Serbia,2024,597,3,4955765.0,2,0,552,9,17,17
Slovakia,2020,152,0,759269.0,0,0,140,6,6,0
Slovakia,2021,110,0,715808.0,0,0,103,5,1,1
Slovakia,2022,215,2,691559.0,0,0,84,3,126,2
Slovakia,2023,107,0,596137.0,0,0,102,1,4,0
Slovakia,2024,213,1,1361931.0,0,0,198,0,12,3
Slovenia,2020,136,0,572675.0,0,0,133,1,2,0
Slovenia,2021,143,0,681979.0,0,0,137,3,2,1
Slovenia,2022,77,0,320352.0,0,0,64,0,11,2
Slovenia,2023,100,0,474497.0,0,0,89,5,6,0
Slovenia,2024,126,1,582027.0,0,0,104,7,14,1
Spain,2019,6,0,122658.0,0,0,6,0,0,0
Spain,2020,3492,1,50148314.0,0,0,3343,131,14,4
Spain,2021,4768,4,61971188.0,1,0,4492,243,25,7
Spain,2022,3972,0,45350689.0,0,1,3873,74,21,3
Spain,2023,3210,0,41331006.0,0,0,3180,27,1,2
Spain,2024,3914,1,48094722.0,0,1,3849,56,5,3
Sweden,2019,7,0,30572.0,0,0,7,0,0,0
Sweden,2020,973,1,3257426.0,1,1,902,28,36,5
Sweden,2021,1248,0,3242073.0,0,0,1240,3,5,0
Sweden,2022,1515,0,4201749.0,0,0,1483,15,13,4
Sweden,2023,1457,0,3535178.0,0,0,1451,3,3,0
Sweden,2024,1198,0,2980343.0,0,0,1163,2,30,3
Switzerland,2020,171,0,2064690.0,0,0,165,3,2,1
Switzerland,2021,235,0,2675819.0,0,0,218,12,4,1
Switzerland,2022,194,2,2302752.0,1,0,187,3,2,1
Switzerland,2023,194,0,2282865.0,0,0,185,6,3,0
Switzerland,2024,183,0,2182221.0,0,0,177,4,1,1
Tajikistan,2018,31,65,1011556.0,1,1,8,2,7,12
Tajikistan,2019,40,65,1272303.0,1,1,6,9,11,12
Tajikistan,2020,26,2,520440.0,1,0,13,3,4,5
Tajikistan,2021,23,20,385167.0,5,0,3,6,5,4
Tajikistan,2022,35,72,999516.0,12,6,6,0,5,6
Tajikistan,2023,10,5,73860.0,2,0,2,0,4,2
Tajikistan,2024,8,0,14268.0,0,0,1,0,7,0
Turkmenistan,2018,7,25,193659.0,1,0,1,2,1,2
Turkmenistan,2019,15,8,412188.0,3,0,1,2,4,5
Turkmenistan,2020,16,1,263330.0,1,0,7,3,3,2
Turkmenistan,2021,3,0,0.0,0,0,0,0,3,0
Turkmenistan,2022,3,0,17509.0,0,0,2,0,1,0
Turkmenistan,2023,4,1,145613.0,0,0,1,1,1,1
Turkmenistan,2024,2,0,0.0,0,0,0,0,1,1
Ukraine,2018,15222,897,62061430.0,8050,5147,1291,156,455,123
Ukraine,2019,16537,409,52717099.0,7841,6817,1431,128,196,124
